gender,height_mm,weight_kg,chest_circumference_mm,waist_circumference_mm,hip_breadth_mm,neck_circumference_mm,shoulder_circumference_mm,arm_length_mm,thigh_circumference_mm,calf_circumference_mm,leg_length_mm,chest_cm,waist_cm,hip_cm,clothing_size
Male,1776,815,1074,933,332,400,1151,883,610,373,1136,107.4,93.3,33.2,L
Male,1702,726,1021,870,312,380,1119,868,572,357,1096,102.1,87.0,31.2,L
Male,1735,929,1120,964,349,403,1276,910,685,412,1115,112.0,96.4,34.9,XL
Male,1655,794,1114,857,338,407,1155,848,604,395,1034,111.4,85.7,33.8,XL
Male,1914,946,1048,868,332,398,1231,995,672,425,1279,104.8,86.8,33.2,L
Male,1720,802,1066,950,320,395,1172,893,607,386,1126,106.6,95.0,32.0,L
Male,1810,1162,1208,1073,368,461,1331,960,754,467,1202,120.8,107.3,36.8,XXL
Male,1850,954,1087,1010,373,412,1188,928,644,404,1169,108.7,101.0,37.3,XL
Male,1777,995,1181,1065,353,435,1212,914,635,412,1154,118.1,106.5,35.3,XXL
Male,1811,702,964,824,330,372,1094,911,525,368,1143,96.4,82.4,33.0,M
Male,1780,882,1117,994,352,445,1203,915,624,377,1093,111.7,99.4,35.2,XL
Male,1733,701,961,866,317,374,1126,860,567,343,1136,96.1,86.6,31.7,M
Male,1814,1037,1151,986,351,436,1275,952,689,460,1217,115.1,98.6,35.1,XL
Male,1861,1116,1231,1045,376,468,1354,940,704,434,1219,123.1,104.5,37.6,XXL
Male,1709,896,1060,1007,390,399,1149,875,695,421,1144,106.0,100.7,39.0,XL
Male,1740,924,1092,1033,322,435,1224,955,640,433,1183,109.2,103.3,32.2,XL
Male,1694,779,1085,908,343,402,1145,879,604,400,1128,108.5,90.8,34.3,L
Male,1766,969,1118,1028,342,411,1152,888,674,447,1140,111.8,102.8,34.2,XL
Male,1748,760,999,874,331,385,1140,856,613,358,1132,99.9,87.4,33.1,M
Male,1794,908,1127,999,352,392,1146,910,632,395,1143,112.7,99.9,35.2,XL
Male,1780,714,1000,837,320,377,1125,918,553,355,1146,100.0,83.7,32.0,M
Male,1680,746,977,880,342,367,1121,807,638,380,1063,97.7,88.0,34.2,L
Male,1653,792,1079,978,334,388,1170,833,639,363,1089,107.9,97.8,33.4,XL
Male,1959,915,1011,827,333,378,1203,987,646,403,1286,101.1,82.7,33.3,M
Male,1755,965,1098,1030,361,407,1160,902,665,462,1133,109.8,103.0,36.1,XL
Male,1630,675,957,885,315,363,1031,807,588,395,1042,95.7,88.5,31.5,L
Male,1825,1073,1158,1130,383,414,1238,940,706,416,1145,115.8,113.0,38.3,XXXL
Male,1795,793,964,912,337,365,1095,875,621,370,1132,96.4,91.2,33.7,L
Male,1745,782,971,864,345,375,1084,868,635,380,1140,97.1,86.4,34.5,M
Male,1818,882,1057,965,357,384,1135,852,646,407,1130,105.7,96.5,35.7,XL
Male,1881,715,957,777,329,374,1141,921,531,362,1198,95.7,77.7,32.9,M
Male,1760,947,1108,1063,373,395,1141,909,684,436,1127,110.8,106.3,37.3,XXL
Male,1675,665,947,870,316,358,1040,838,557,358,1075,94.7,87.0,31.6,M
Male,1852,879,1043,966,351,392,1182,983,617,400,1189,104.3,96.6,35.1,XL
Male,1785,675,965,806,332,383,1123,860,528,368,1107,96.5,80.6,33.2,M
Male,1791,884,1174,1096,353,397,1154,905,620,381,1207,117.4,109.6,35.3,XXL
Male,1685,695,951,895,315,357,1013,842,637,340,1124,95.1,89.5,31.5,L
Male,1850,1218,1182,1214,415,414,1253,960,781,437,1234,118.2,121.4,41.5,XXXL
Male,1737,719,981,790,315,385,1147,871,594,367,1140,98.1,79.0,31.5,M
Male,1743,881,1086,1002,343,414,1209,882,613,393,1097,108.6,100.2,34.3,XL
Male,1744,575,865,748,309,353,1012,832,497,348,1088,86.5,74.8,30.9,S
Male,1679,876,1205,1043,338,440,1233,872,628,389,1096,120.5,104.3,33.8,XXL
